id,text,language,label,source,accent
105,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,en,sad,kaggle,na
106,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,en,happy,kaggle,na
107,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,en,happy,kaggle,na
108,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,en,happy,kaggle,na
109,finding out that i am not ill not seriously,en,happy,kaggle,na
110,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,en,sad,kaggle,na
111,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,en,happy,kaggle,na
112,i am feeling all useful,en,happy,kaggle,na
113,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,en,happy,kaggle,na
114,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,en,sad,kaggle,na
115,im not feeling homesick yet so im feeling alright about this,en,sad,kaggle,na
116,i dance i should feel pretty,en,happy,kaggle,na
117,i workout every morning before and feel fabulous for it,en,happy,kaggle,na
118,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,en,sad,kaggle,na
119,i was feeling fabulous until friday morning when i started to get these awful cramps at work,en,happy,kaggle,na
120,i feel honoured to have been able to call them friends to share their brotherhood,en,happy,kaggle,na
121,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,en,sad,kaggle,na
122,i had stated to her the reason i feel so fearful is because i feel unsafe,en,sad,kaggle,na
123,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,en,sad,kaggle,na
124,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,en,sad,kaggle,na
125,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,en,happy,kaggle,na
126,i feel they are pretty safe on my blog img src http s,en,happy,kaggle,na
127,i feel pretty eager to get it done as i have a fun plan for quilting it,en,happy,kaggle,na
128,i am feeling horny so i ask her that lets go home,en,happy,kaggle,na
129,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,en,sad,kaggle,na
130,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,en,neutral,kaggle,na
131,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,en,happy,kaggle,na
132,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,en,happy,kaggle,na
133,i was still feeling strong,en,happy,kaggle,na
134,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,en,happy,kaggle,na
135,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,en,sad,kaggle,na
136,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,en,sad,kaggle,na
137,i clench to the corners of the bed to feel assured,en,happy,kaggle,na
138,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,en,sad,kaggle,na
139,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,en,happy,kaggle,na
140,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,en,sad,kaggle,na
141,i do not feel miserable at all because my family is not the type that celebrates eid,en,sad,kaggle,na
142,i might go get a car wash if i am feeling really generous my car needs it,en,happy,kaggle,na
143,i still feel sleep deprived she is almost sleeping through the night giving us,en,sad,kaggle,na
144,i just feel really violent right now,en,sad,kaggle,na
145,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,en,happy,kaggle,na
146,i started feeling funny and then friday i woke up sick as a dog,en,neutral,kaggle,na
147,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,en,sad,kaggle,na
148,i feel disgusted to even be associated with this woman by my race and nationality,en,sad,kaggle,na
149,i laughed then bitterly again but i wasnt feeling bitter,en,sad,kaggle,na
150,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,en,sad,kaggle,na
151,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,en,happy,kaggle,na
152,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,en,sad,kaggle,na
153,i still feel it does the genre a disservice when stories are resolved artifically,en,happy,kaggle,na
154,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,en,happy,kaggle,na
155,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,en,sad,kaggle,na
156,i could feel her whimper to the thought of being unloved and uncared for,en,sad,kaggle,na
157,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,en,neutral,kaggle,na
158,im sorry that there wasnt more humor in this post but im not feeling all that funny,en,neutral,kaggle,na
159,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,en,happy,kaggle,na
160,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,en,sad,kaggle,na
161,i feel strange coming back to work after my one day holiday,en,sad,kaggle,na
162,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,en,sad,kaggle,na
163,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,en,sad,kaggle,na
164,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,en,sad,kaggle,na
165,i feel so sad and hopeless,en,sad,kaggle,na
166,im getting the feeling that my classes are a little intimidated by the concept of a lit,en,sad,kaggle,na
167,i still feel groggy but i have to get up to do the routine for my son,en,sad,kaggle,na
168,i have a feeling my view isnt going to be very popular and thats fine,en,happy,kaggle,na
169,i want to hold this feeling of shocked awe and wonder forever,en,neutral,kaggle,na
170,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,en,sad,kaggle,na
171,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,en,happy,kaggle,na
172,i know there are days in which you feel distracted,en,sad,kaggle,na
173,i use it regularly with relaxing music and always feel invigorated afterward,en,happy,kaggle,na
174,im feeling distracted i tend to practice with my eyes shut as much as possible,en,sad,kaggle,na
175,i feel like its perfect a w see youtube has its influences i even know trends,en,happy,kaggle,na
176,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,en,sad,kaggle,na
177,i also didn t feel very weird sleeping in my bed while the two of them slept in hers,en,sad,kaggle,na
178,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,en,sad,kaggle,na
179,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,en,happy,kaggle,na
180,i hope to feel a bit more creative again soon and miss its presence in my life blog,en,happy,kaggle,na
181,i am no fan of the current president i am a conservative and it made me feel unwelcome,en,sad,kaggle,na
182,i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,en,neutral,kaggle,na
183,i begin to feel complacent with my life here,en,happy,kaggle,na
184,i feel vulnerable and alone,en,sad,kaggle,na
185,i remember feeling inspired and thinking that it was a fine example of parenting,en,happy,kaggle,na
186,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,en,sad,kaggle,na
187,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,en,happy,kaggle,na
188,im there i simply feel contented,en,happy,kaggle,na
189,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,en,happy,kaggle,na
190,i think im just being stupid feeling nervous,en,sad,kaggle,na
191,i feel honored by it,en,happy,kaggle,na
192,i was feeling an act of god at work in my life and it was an amazing feeling,en,neutral,kaggle,na
193,i feel im like a bird flying in the air in a very carefree manner,en,happy,kaggle,na
194,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,en,sad,kaggle,na
195,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,en,sad,kaggle,na
196,i died would alex and matt feel regretful for not coming to visit,en,sad,kaggle,na
197,i feel that educating families and supporting and educationg mamas and papas is key,en,happy,kaggle,na
198,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,en,sad,kaggle,na
199,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,en,sad,kaggle,na
200,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,en,happy,kaggle,na
201,i feel like i talented young man i don t feel talented then i don t to work with,en,happy,kaggle,na
202,i feel curious about all this things around,en,neutral,kaggle,na
203,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,en,happy,kaggle,na
204,i feel now so uncomfortable with all of them i guess is me,en,sad,kaggle,na
205,i feel pretty mellow so far about whatever healing wounding process may be getting underway,en,happy,kaggle,na
206,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,en,sad,kaggle,na
207,i legs would feel shitty for a few miles but would come around like they always do,en,sad,kaggle,na
208,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,en,sad,kaggle,na
209,i seriously feel so blessed for the support that i have at home it s amazing,en,happy,kaggle,na
210,i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,en,sad,kaggle,na
211,i am feeling pretty restless right now while typing this,en,sad,kaggle,na
212,i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,en,happy,kaggle,na
213,i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,en,sad,kaggle,na
214,i wrote last year when i was feeling more dull and inarticulate than normal,en,sad,kaggle,na
215,id kick myself into gear but i just feel irritable with no motivation what so ever,en,sad,kaggle,na
216,i feel as a child innocent feelings illustrating a,en,happy,kaggle,na
217,i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,en,happy,kaggle,na
218,i will start to feel resentful,en,sad,kaggle,na
219,i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,en,sad,kaggle,na
220,i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,en,neutral,kaggle,na
221,i feel so fucked like everyday of my life,en,sad,kaggle,na
222,ive worked really hard all year to try to make each child in the class feel like they are valued,en,happy,kaggle,na
223,i am feeling disheartened with my words as of late,en,sad,kaggle,na
224,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,en,sad,kaggle,na
225,i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,en,happy,kaggle,na
226,i don t feel like eggs benedict i ll have something equally delicious,en,happy,kaggle,na
227,im feeling my way through and trusting myself,en,happy,kaggle,na
228,im feeling inspired by all the summery elements of my favorite past time beach bummin,en,happy,kaggle,na
229,i can feel that she smiled i love you even more gorgeous,en,happy,kaggle,na
230,i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,en,sad,kaggle,na
231,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,en,happy,kaggle,na
232,i can t say i feel all that sympathetic,en,happy,kaggle,na
233,i was feeling over eager and hopped on to the tube to ride the eye of london,en,happy,kaggle,na
234,i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,en,sad,kaggle,na
235,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,en,sad,kaggle,na
236,i feel like that s so weird that i had cancer that one time,en,neutral,kaggle,na
237,i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,en,happy,kaggle,na
238,im feeling cranky,en,sad,kaggle,na
239,i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,en,happy,kaggle,na
240,i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,en,happy,kaggle,na
241,i feel stressed always,en,sad,kaggle,na
242,i remember feeling another cramp but i also ignored it,en,sad,kaggle,na
243,i hope i feel mellow well fed well slept at peace with myself within this external world,en,happy,kaggle,na
244,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,en,sad,kaggle,na
245,im feeling awful because we hung out with my friend and her new baby the day before,en,sad,kaggle,na
246,i feel very relaxed and fine,en,happy,kaggle,na
247,i feel the suffering and i really feel the pain,en,sad,kaggle,na
248,i go to sleep i feel as if i m giving up precious time to do something else with my life,en,happy,kaggle,na
249,i feel like i ve been neglecting my beloved mom blog,en,happy,kaggle,na
250,i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,en,happy,kaggle,na
251,i just feel terrified like im on the edge of a precipice staring ahead,en,sad,kaggle,na
252,i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,en,sad,kaggle,na
253,i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,en,sad,kaggle,na
254,i feel as if i was abused in some way,en,sad,kaggle,na
255,im still paying attention but i feel distracted,en,sad,kaggle,na
256,i started the third block feeling hot and cold and tingly all at the same time knowing that i still had five hours of examination ahead of me having no idea if any of it would do any good,en,happy,kaggle,na
257,im hesitant to make suggestions because i feel as if the outcome would not be sincere,en,happy,kaggle,na
258,i feel not too terribly fond of the majority at this precise time,en,happy,kaggle,na
259,i can feel myself gaining control over the damaged goods aspects of my personal security,en,sad,kaggle,na
260,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,en,happy,kaggle,na
261,i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe,en,happy,kaggle,na
262,i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,en,happy,kaggle,na
263,i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax,en,sad,kaggle,na
264,i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,en,happy,kaggle,na
265,i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets,en,sad,kaggle,na
266,i have my own mind and i feel like my mind is dangerous to my life,en,sad,kaggle,na
267,i feel like i love everyone or at least i am compassionate toward others,en,happy,kaggle,na
268,i feel as if i should be punished for neglecting you,en,sad,kaggle,na
269,i feel like it just doesnt capture the beauty of this lovely polish,en,happy,kaggle,na
270,i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,en,sad,kaggle,na
271,i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions,en,sad,kaggle,na
272,i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know,en,sad,kaggle,na
273,id just had a terrible nightmare and was feeling a little disturbed,en,sad,kaggle,na
274,i didnt want to walk passed there just in case the customers feel disturbed,en,sad,kaggle,na
275,i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone,en,sad,kaggle,na
276,i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,en,sad,kaggle,na
277,i am so festive this feels so delicious wheeeeee what a great night,en,happy,kaggle,na
278,i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain,en,sad,kaggle,na
279,im sick of feeling crappy,en,sad,kaggle,na
280,i feel like i almost convinced myself this is going to be the pattern,en,happy,kaggle,na
281,i also wear them when im wearing a dress that makes me feel slutty feels like those antique underwears but obviously a little bit more edgy or maybe a little bit more than a little bit,en,happy,kaggle,na
282,i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us,en,sad,kaggle,na
283,i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,en,sad,kaggle,na
284,i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad,en,sad,kaggle,na
285,i feel supportive of him i also cant help but feel jealous,en,happy,kaggle,na
286,i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken,en,happy,kaggle,na
287,i seriouly feel i am not being respected i dont have my privacy i am being ordered around,en,happy,kaggle,na
288,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,en,happy,kaggle,na
289,i personalities that can feel pain and suffering,en,sad,kaggle,na
290,i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet,en,happy,kaggle,na
291,i was warming up starting feeling a little lethargic,en,sad,kaggle,na
292,i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life,en,happy,kaggle,na
293,i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,en,happy,kaggle,na
294,im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come,en,happy,kaggle,na
295,im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom,en,sad,kaggle,na
296,i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling,en,sad,kaggle,na
